Name,Cost,
Advance to GO. Collect $200,200,
Bank Error in your favour. Collect $200,200,
Doctors fees. Pay $50,50,
From sale of stock you get $50,50,
Holiday fund matures. Collect $100,100,
Life insurance matures. Collect $100,100,
Hospital Fees. Pay $100,-100,
School fees. Pay $50,-50,
You inherit $100,100,
Advance to GOù. Collect $200,200,
Bank pays you dividend of $50,50,Community Chest
Pay poor tax of $15,-15,
It's your birthday receive $50,50,
Your building loan matures. Receive $150,50,
You won a crossword competition. Collect $100,100,
Drunk in charge fine $20,-20,
